Species_ID,Genus_ID,Model_ID,Family,Genus,Species,Common_Name,Group,Tribe,Native,PFG_Page,Sportfish,NonGame,Subsistence,Sensitivity,Rarity,Ubiquity,Extent,Tolerance,Robustness,Max_Age,Max_Length,Mean_Length,Mean_Weight,Girth_Index,WL_A,WL_B,Thinning,Thin_Adjustment,Estimated,Cave,Spring,Headwater,Creek,Small_River,Medium_River,Large_River,Lake_Impoundment,Swamp_Marsh,Coastal_Ocean,Riffles,Runs,Pools,Benthic,Surface,Nearshore_Littoral,OpenWater_Pelagic,Mud_Silt,Sand,Gravel,Rock_Rubble,Vegetation,Woody_Debris,Clear,Turbid,Warm,Cool,Cold,Lowlands,Uplands,Lower_Width,Upper_Width,Location_Notes,Habitat_Notes
1,1,1,Centrarchidae,Acantharchus,pomotis,Mud Sunfish,Sunfish,Sunfish,Y,491,1,0,0,M,6,9.7,4.9,1.7,4.3,6,20,10,12.59,0.53,0.0209,2.78,0.6,0,0,XXX,-999,-999,A,A,A,-999,A,-999,-999,-999,-999,A,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,A,-999,1,50,,
2,2,-999,Acipenseridae,Acipenser,brevirostrum,Shortnose Sturgeon,Sturgeon,Sturgeon,Y,134,1,0,1,S,6,0,0,0,0,10,140,46.2,2188.43,0.9,0.01697,3.07,0.68,0,1,XXX,-999,-999,-999,-999,-999,A,A,-999,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,10000,,
3,2,2,Acipenseridae,Acipenser,fulvescens,Lake Sturgeon,Sturgeon,Sturgeon,Y,135,1,0,1,M,6,0.4,10,0.2,0.9,15,270,125,46472.45,0.9,0.01697,3.07,0.75,0,1,XXX,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,A,-999,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,50,10000,"Rare in Missouri, Ohio, and middle Mississippi",
4,2,-999,Acipenseridae,Acipenser,medirostris,Green Sturgeon,Sturgeon,Sturgeon,Y,135,1,0,1,U,6,0,0,0,0,13,270,90,16951.43,0.9,0.01697,3.07,0.74,0,1,XXX,-999,-999,-999,-999,-999,A,-999,-999,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,10000,,
5,2,-999,Acipenseridae,Acipenser,oxyrinchus,Atlantic Sturgeon,Sturgeon,Sturgeon,Y,137,1,0,1,S,6,0,0,0,0,18,430,200,196717.92,0.9,0.01697,3.07,0.75,0,1,XXX,-999,-999,-999,-999,-999,A,-999,-999,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,10000,,
6,2,-999,Acipenseridae,Acipenser,transmontanus,White Sturgeon,Sturgeon,Sturgeon,Y,136,0,0,1,U,8,0,0,0,0,21,610,201.3,200669.9,0.9,0.01697,3.07,0.75,0,1,XXX,-999,-999,-999,-999,-999,A,-999,-999,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,10000,,
7,3,-999,Cyprinidae,Acrocheilus,alutaceus,Chiselmouth,Minnow,Other Minnow,Y,163,1,0,1,M,4,0,0,0,0,6,30,15,17.66,0.22,0.00433,3.07,0.58,0,1,XXX,-999,-999,A,A,A,-999,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,50,,
8,4,-999,Mugilidae,Agonostomus,monticola,Mountain Mullet,Oddball,Mullet,Y,607,0,1,1,U,7,0,0,0,0,6,35,15,25.66,0.47,0.00629,3.07,0.58,0,1,XXX,-999,-999,-999,A,A,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,50,,
9,5,-999,Cyprinidae,Agosia,chrysogaster,Longfin Dace,Minnow,Dace,Y,175,0,1,0,U,3,0,0,0,0,4,10,4.5,0.44,0.22,0.00433,3.07,0.5,0,1,XXX,-999,-999,A,A,A,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,A,A,A,-999,A,-999,-999,-999,-999,-999,-999,-999,1,50,,
10,6,3,Clupeidae,Alosa,aestivalis,Blueback Herring,Shad and Herring,Shad/Herring,Y,147,1,0,1,M,3,1.7,5.3,2.5,2.8,6,40,20,53.6,0.42,0.00368,3.2,0.57,0,0,XXX,-999,S,S,-999,-999,-999,-999,-999,A,-999,A,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,10000,,
