Species,SpeciesID,ModelID,WA_Lower,WA_Upper,Elev_Lower,Elev_Upper,Slope_Lower,Slope_Upper,IWI_Lower,IWI_Upper,BMMI_lower,BMMI_Upper
Acantharchus pomotis,1,1,1.2411,17818.0083,0,377.7016003,0,0.0155238,0.195285706,0.895189779,0.128333333,0.744333333
Acipenser fulvescens,3,2,96.7887,51202.737,150.0279519,496.7033085,0,0.00244372,0.166557322,0.866752365,0.107666667,0.652
Alosa aestivalis,9,3,5.805,41081.3316,12.57859391,502.2487423,0,0.01398089,0.176287604,1,0.152333333,0.747333333
Alosa chrysochloris,11,4,2.205,10000000,15.61093824,1119.637432,0,0.0175,0.13944183,0.852625501,0,0.708333333
Alosa pseudoharengus,13,5,4.4451,64790.001,12.57859391,743.1775595,0,0.0557475,0.16706749,0.867595451,0,1
Alosa sapidissima,14,6,4.3002,612070.6671,11.45094944,1296.656166,0,0.07265038,0.206854085,0.876382762,0.128666667,0.856666667
Ambloplites ariommus,16,7,1.1214,45965.9133,22.42107656,669.8661765,0,0.0696134,0.147028627,0.886509845,0.112666667,0.756333333
Ambloplites cavifrons,17,8,23.8833,3734.676,67.61540765,545.2042781,0,0.00540803,0.184710325,0.866225337,0.110333333,0.444
Ambloplites constellatus,18,9,1.4391,2777.8635,169.2892637,607.2532393,0,0.06320794,0.232785505,0.896774963,0.177666667,1
Ambloplites rupestris,19,10,0.3303,210841.0344,0,2210.158079,0,0.16704895,0,1,0,0.899
Ameiurus brunneus,22,11,1.8612,44443.8783,28.2957306,918.2196559,0,0.03726133,0.13443419,0.884750748,0,0.752
Ameiurus catus,23,12,1.2411,67603.4217,0,1961.33528,0,0.02170542,0.143951509,1,0,1
Ameiurus melas,24,13,0.9549,10000000,0,2678.093335,0,0.0344874,0.136479632,1,0,0.834333333
Ameiurus natalis,25,14,0.8388,2421454.072,0,2741.456645,0,0.13842105,0.130844101,1,0,1
Ameiurus nebulosus,26,15,0.8505,69330.2148,0,1739.639019,0,0.13195266,0.121904356,1,0,1
Ameiurus platycephalus,27,16,2.5866,5065.1766,14.91910262,993.2618577,0,0.02550837,0.1862503,1,0,0.755333333
Amia calva,29,17,0.7092,10000000,0,804.128069,0,0.01658172,0.138716105,1,0,0.747333333
Ammocrypta beanii,30,18,3.1212,17513.4285,20.6565883,174.6806798,0,0.00719873,0.17972859,0.758482951,0.171333333,0.736
Ammocrypta bifascia,31,19,27.3933,45965.9133,32.47089103,163.7373237,0,0.00343541,0.285121536,0.865520733,0.468333333,0.769
Ammocrypta pellucida,34,20,0.9342,5984.7795,61.30704239,530.1520219,0,0.00411654,0.168238266,0.872699812,0.109333333,0.671333333
Ammocrypta vivax,35,21,12.6837,24253.9686,41.71057208,263.4924665,0,0.00301455,0.17972859,0.867782869,0.128,0.611666667
Anchoa mitchilli,38,22,0.3483,10000000,0,686.3239555,0,0.00075789,0.174968741,0.876211352,0.147333333,0.717666667
Anguilla rostrata,39,23,0.3483,10000000,0,766.4005977,0,0.09329276,0.13944183,1,0,1
